Characters,Meaning,Pronunciation
厌烦,bored; fed up with sth; sick of sth,yànfán
风筝,kite,fēngzhēng
当面,to sb's face; in sb's presence,dāngmiàn
经受,to undergo (hardship); to endure; to withstand,jīngshòu
戴上,to put on (hat etc),dàishang
坦白,honest; forthcoming; to confess,tǎnbái
月票,monthly ticket,yuèpiào
掉队,to fall behind; to drop out,diàoduì
叹息,to sigh; to gasp (in admiration),tànxī
上头,(of alcohol) to go to one's head; (old) (of a bride-to-be) to bind one's hair into a bun; (of a prostitute) to receive a patron for the first time,shàngtóu
地下室,basement; cellar,dìxiàshì
摔跤,to trip and fall; to wrestle; wrestling (sports),shuāijiāo
交警,traffic police; abbr. for 交通警察,jiāojǐng
美德,USA and Germany,měidé
重创,to inflict heavy losses; to inflict serious damage,zhòngchuāng
前台,stage; proscenium; foreground in politics etc (sometimes derog.); front desk; reception desk; (computing) front-end; foreground,qiántái
一无所有,not having anything at all (idiom); utterly lacking; without two sticks to rub together,yīwúsuǒyǒu
晚报,evening newspaper; (in a newspaper's name) Evening News,wǎnbào
派别,denomination; group; school; faction; school of thought,pàibié
并行,"to proceed in parallel; side by side (of two processes, developments, thoughts etc)",bìngxíng
破除,to eliminate; to do away with; to get rid of,pòchú
情愿,willingness; would rather (agree to X than Y),qíngyuàn
电线,wire; power cord,diànxiàn
姨妈,(coll.) mother's sister; maternal aunt,yímā
欣慰,to be gratified,xīnwèi
少见,rare; not familiar (to the speaker); sth rarely experience; hard to see,shǎojiàn
呻吟,to moan; to groan,shēnyín
日程,schedule; itinerary,rìchéng
复原,to restore (sth) to (its) former condition; to recover from illness; recovery,fùyuán
高龄,elderly,gāolíng
投稿,to submit articles for publication; to contribute (writing),tóugǎo
潜能,potential; hidden capability,qiánnéng
领养,adoption; to adopt (a child),lǐngyǎng
痛快,delighted; to one's heart's content; straightforward; also pr. [tong4 kuai5],tòngkuài
露面,to show one's face; to appear (in public),lòumiàn
港币,Hong Kong currency; Hong Kong dollar,gǎngbì
灰尘,dust,huīchén
执着,to be strongly attached to; to be dedicated; to cling to,zhízhuó
通风,airy; ventilation; to ventilate; to disclose information,tōngfēng
乌鸦,crow; raven,wūyā
山路,mountain road,shānlù
喝醉,to get drunk,hēzuì
防疫,disease prevention; protection against epidemic,fángyì
侄子,brother's son; nephew,zhízi
舍得,to be willing to part with sth,shěde
平价,reasonably priced; inexpensive; to keep prices down; (currency exchange) parity,píngjià
花卉,flowers and plants,huāhuì
麻醉,anesthesia; (fig.) to poison (sb's mind),mázuì
开张,to open a business; first transaction of a business day,kāizhāng
稀少,sparse; rare,xīshǎo
京剧,Beijing opera,jīngjù
丢弃,to discard; to abandon,diūqì
燃气,"fuel gas (coal gas, natural gas, methane etc)",ránqì
挑起,to provoke; to stir up; to incite,tiǎoqǐ
抬起,to lift up,táiqǐ
攻读,to major (in a field); to study a specialty to obtain a higher degree,gōngdú
湿度,humidity level,shīdù
神马,mythical horse; Internet slang for 什麼|什么[shen2 me5],shénmǎ
下山,(of the sun) to set,xiàshān
徒步,to be on foot,túbù
海内外,domestic and international; at home and abroad,hǎinèiwài
计较,to bother about; to haggle; to bicker; to argue; plan; stratagem,jìjiào
外壳,envelope; outer shell; hull; cover; case,wàiké
破灭,"to be shattered; to be annihilated (of hope, illusions etc)",pòmiè
警车,police car,jǐngchē
窒息,to choke; to stifle; to suffocate,zhìxī
慎重,cautious; careful; prudent,shènzhòng
遵照,in accordance with; to follow (the rules),zūnzhào
和气,friendly; polite; amiable,héqi
纸币,bank notes; paper currency,zhǐbì
篇幅,length (of a piece of writing); space occupied on a printed page,piānfu
社员,"commune member (PRC, 1958-1985); member of a society (or other organization)",shèyuán
沙龙,salon (loanword),shālóng
丰收,bumper harvest,fēngshōu
燃油,fuel oil,rányóu
引人注目,to attract attention; eye-catching; conspicuous,yǐnrénzhùmù
造价,construction cost,zàojià
高血压,high blood pressure; hypertension,gāoxuèyā
灌输,to imbue with; to inculcate; to instill into; to teach; to impart; to channel water to another place,guànshū
无赖,hoodlum; rascal; rogue; rascally; scoundrelly,wúlài
生机,opportunity to live; to reprieve from death; life force; vitality,shēngjī
奖牌,medal (awarded as a prize),jiǎngpái
妥当,appropriate; proper; ready,tuǒdang
乘车,to ride (in a car or carriage); to drive; to motor,chéngchē
风采,svelte; elegant manner; graceful bearing,fēngcǎi
一无所知,not knowing anything at all (idiom); completely ignorant; without an inkling,yīwúsuǒzhī
包袱,wrapping cloth; a bundle wrapped in cloth; load; weight; burden; funny part; punchline,bāofu
快捷,quick; fast; nimble; agile; (computer) shortcut,kuàijié
自然而然,involuntary; automatically,zìránérrán
渊源,origin; source; relationship,yuānyuán
定时,to fix a time; fixed time; timed (of explosive etc),dìngshí
惩处,to punish; to administer justice,chéngchǔ
器械,apparatus; instrument; equipment; weapon,qìxiè
完好,intact; in good condition,wánhǎo
走近,to approach; to draw near to,zǒujìn
降温,"to become cooler; to lower the temperature; cooling; (of interest, activity etc) to decline",jiàngwēn
汇聚,convergence; to come together,huìjù
转机,(to take) a turn for the better; to change planes,zhuǎnjī
收视率,ratings (of a TV show),shōushìlǜ
礼品,gift; present,lǐpǐn
民工,migrant worker; temporary worker enlisted on a public project,míngōng
观望,to wait and see; to watch from the sidelines; to look around; to survey,guānwàng
概论,outline; introduction; survey; general discussion,gàilùn
上当,taken in (by sb's deceit); to be fooled; to be duped,shàngdàng
三维,three-dimensional; 3D,sānwéi
摇晃,to rock; to shake; to sway,yáohuàng
正版,genuine; legal; see also 盜版|盗版[dao4 ban3],zhèngbǎn
重任,heavy responsibility,zhòngrèn
不能不,have to; cannot but,bùnéngbù
捐助,to donate; to offer (aid); contribution; donation,juānzhù
报销,to submit an expense account; to apply for reimbursement; to write off; to wipe out,bàoxiāo
化肥,fertilizer,huàféi
免职,to relieve sb of his post; to sack; to demote; dismissal; sacking,miǎnzhí
奋力,to do everything one can; to spare no effort; to strive,fènlì
求学,to seek knowledge; to study; to attend college,qiúxué
接替,to replace; to take over (a position or post),jiētì
转告,to pass on; to communicate; to transmit,zhuǎngào
升温,to become hot; temperature rise; (fig.) to intensify; to hot up; to escalate; to get a boost,shēngwēn
微弱,weak; faint; feeble,wēiruò
诺言,promise,nuòyán
聘用,to employ; to hire,pìnyòng
随手,conveniently; without extra trouble; while doing it; in passing,suíshǒu
回馈,to repay a favor; to give back; feedback,huíkuì
入场,"to enter the venue for a meeting; to enter into an examination; to enter a stadium, arena etc",rùchǎng
参展,to exhibit at or take part in a trade show etc,cānzhǎn
识字,to learn to read,shízì
受灾,disaster-stricken; to be hit by a natural calamity,shòuzāi
卷子,steamed roll; spring roll,juǎnzi
开垦,to clear a wild area for cultivation; to put under the plow,kāikěn
惭愧,ashamed,cánkuì
如实,as things really are; realistic,rúshí
鳄鱼,alligator; crocodile,èyú
胚胎,embryo,pēitāi
亲情,"affection; family love; love, esp. within a married couple or between parents and children",qīnqíng
噪声,noise,zàoshēng
演练,to do a drill; to practice; training; drill,yǎnliàn
改版,to revise the current edition; revised edition,gǎibǎn
腐烂,to rot; to putrefy; (fig.) corrupt,fǔlàn
新颖,lit. new bud; fig. new and original,xīnyǐng
莫名其妙,(idiom) baffling; inexplicable,mòmíngqímiào
求救,to cry for help,qiújiù
手脚,hand and foot; movement of limbs; action; trick; step in a procedure (CL:道[dao4]),shǒujiǎo
工序,working procedure; process,gōngxù
棘手,thorny (problem); intractable,jíshǒu
体面,"dignity; face (as in ""losing face""); honorable; creditable; (of sb's appearance) presentable; respectable",tǐmiàn
抑郁,depressed; despondent; gloomy; depression,yìyù
貌似,to appear to be; to seem as if,màosì
熟人,acquaintance; friend,shúrén
抢夺,to plunder; to pillage; to forcibly take,qiǎngduó
商业银行,commercial bank,shāngyèyínháng
受苦,to suffer hardship,shòukǔ
沉淀,to settle; to precipitate (solid sediment out of a solution),chéndiàn
接轨,railtrack connection; to integrate into sth; to dock; to connect; to be in step with; to bring into line with; to align,jiēguǐ
自立,independent; self-reliant; self-sustaining; to stand on one's own feet; to support oneself,zìlì
评论员,N/A,N/A
深信,to believe firmly,shēnxìn
炎热,blistering hot; sizzling hot (weather),yánrè
深切,deeply felt; heartfelt; sincere; honest,shēnqiè
烤肉,barbecue (lit. roast meat),kǎoròu
好奇心,interest in sth; curiosity; inquisitive,hàoqíxīn
脱身,to get away; to escape (from obligations); to free oneself; to disengage,tuōshēn
投掷,to throw sth a long distance; to hurl; to throw at; to throw (dice etc); to flip (a coin),tóuzhì
对白,dialogue (in a movie or a play),duìbái
多方面,many-sided; in many aspects,duōfāngmiàn
修补,to mend,xiūbǔ
实况,live (e.g. broadcast or recording); what is actually happening; scene; the real situation,shíkuàng
庄严,solemn; dignified; stately,zhuāngyán
鄙视,to despise; to disdain; to look down upon,bǐshì
滋润,moist; humid; to moisten; to provide moisture; comfortably off,zīrùn
孵化,breeding; to incubate; innovation (esp. in commerce and marketing),fūhuà
图纸,blueprint; drawing; design plans; graph paper,túzhǐ
子弟,child; the younger generation,zǐdì
肝脏,liver,gānzàng
穿戴,to dress; clothing,chuāndài
活性,(chemistry) activity; active; activated,huóxìng
天性,nature; innate tendency,tiānxìng
公用,public; for public use,gōngyòng
拖拉机,tractor,tuōlājī
车轮,wheel,chēlún
元旦,New Year's Day,yuándàn
委屈,to feel wronged; to cause sb to feel wronged; grievance,wěiqu
分量,(vector) component,fēnliàng
低迷,blurred (landscape etc); low (spirits); in a slump (economy),dīmí
发热,to have a high temperature; feverish; unable to think calmly; to emit heat,fārè
抚摸,to gently caress and stroke; to pet; to fondle,fǔmō
缩水,to shrink (in the wash); fig. to shrink (of profits etc),suōshuǐ
往常,usual; customary,wǎngcháng
丘陵,hills,qiūlíng
也罢,(reduplicated) whether... or...; never mind; fine (indicating acceptance or resignation),yěbà
外婆,(coll.) mother's mother; maternal grandmother,wàipó
一瞬间,split second,yīshùnjiān
管理费,N/A,N/A
大款,very wealthy person,dàkuǎn
油漆,oil paints; lacquer; to paint,yóuqī
钢筋,steel reinforcing bar,gāngjīn
成型,to become shaped; to become formed,chéngxíng
海鲜,seafood,hǎixiān
小康,"Xiaokang, a Confucian near-ideal state of society, second only to Datong 大同[Da4 tong2]",xiǎokāng
小贩,peddler; hawker,xiǎofàn
高额,high quota; large amount,gāoé
艰巨,arduous; terrible (task); very difficult; formidable,jiānjù
丝绸,silk cloth; silk,sīchóu
简陋,simple and crude,jiǎnlòu
扣除,to deduct,kòuchú
料到,to foresee; to anticipate,liàodào
初衷,original intention,chūzhōng
敬意,respect; tribute,jìngyì
花瓣,petal,huābàn
参军,to join the army,cānjūn
过期,to be overdue; to exceed the time limit; to expire (as in expiration date),guòqī
登机,to board a plane,dēngjī
出头,to get out of a predicament; to stick out; to take the initiative; remaining odd fraction after a division; a little more than,chūtóu
有幸,fortunately,yǒuxìng
条纹,stripe,tiáowén
念书,to read; to study,niànshū
新式,new style; latest type,xīnshì
射手,archer; shooter; marksman; (football etc) striker,shèshǒu
岳父,"wife's father, father-in-law",yuèfù
亲热,affectionate; intimate; warmhearted; to get intimate with sb,qīnrè
抵挡,to resist; to hold back; to stop; to ward off; to withstand,dǐdǎng
天桥,"Tianqiao district of Jinan city 濟南市|济南市[Ji3 nan2 shi4], Shandong; Tianqiao district in Beijing, formerly a center of folk culture",tiānqiáo
有序,regular; orderly; successive; in order,yǒuxù
香味,fragrance; bouquet; sweet smell,xiāngwèi
结实,to bear fruit,jiēshí
池塘,pool; pond,chítáng
体贴,considerate (of other people's needs),tǐtiē
披萨,pizza (loanword),pīsà
扣留,to detain; to arrest; to hold; to confiscate,kòuliú
胡闹,to act willfully and make a scene; to make trouble,húnào
捐献,to donate; to contribute; donation; contribution,juānxiàn
义工,volunteer worker; volunteer work,yìgōng
怀里,embrace; bosom,huáilǐ
车道,traffic lane; driveway,chēdào
高昂,to hold (one's head) high; expensive; high (spirits etc),gāoáng
沉浸,to soak; to permeate; to immerse,chénjìn
感性,perception; perceptual; sensibility; sensitive; emotional; sentimental,gǎnxìng
公示,N/A,N/A
放纵,to indulge; to pamper; to connive at; permissive; indulgent; self-indulgent; unrestrained; undisciplined; uncultured; boorish,fàngzòng
无私,selfless; unselfish; disinterested; altruistic,wúsī
次要,secondary,cìyào
遗弃,to leave; to abandon,yíqì
先例,antecedent; precedent,xiānlì
球星,sports star (ball sport),qiúxīng
农民工,migrant workers,nóngmíngōng
强壮,strong; sturdy; robust,qiángzhuàng
像素,pixel,xiàngsù
土匪,bandit,tǔfěi
长假,long vacation,chángjià
湿润,moist,shīrùn
密封,to seal up,mìfēng
围棋,the game of Go,wéiqí
